Fecha,Camion,Horas_Hombre,Costo_Reparacion,Tipo_Reparacion
2023-12-11 01:52:07,Scania_5,3.38,4344.61,Motor
2024-05-20 01:52:07,Scania_5,6.55,1624.31,Neum‡ticos
2023-11-12 01:52:07,Scania_2,2.5,2612.42,Neum‡ticos
2024-04-21 01:52:07,Scania_9,2.32,1179.65,Electricidad
2023-12-13 01:52:07,Scania_4,8.97,4227.66,Frenos
2024-04-02 01:52:07,Scania_7,8.22,1816.95,Electricidad
2024-08-31 01:52:07,Scania_8,7.12,1651.09,Suspensi—n
2024-01-28 01:52:07,Scania_3,5.6,2710.95,Frenos
2024-09-25 01:52:07,Scania_10,9.21,1064.34,Neum‡ticos
2024-09-02 01:52:07,Scania_9,8.33,4955.97,Neum‡ticos
2024-01-27 01:52:07,Scania_9,4.69,2004.15,Aceite
2024-06-27 01:52:07,Scania_7,4.51,3210.37,Electricidad
2024-06-16 01:52:07,Scania_7,3.48,3727.29,Frenos
2024-01-27 01:52:07,Scania_5,9.49,3386.47,Suspensi—n
2023-12-01 01:52:07,Scania_5,8.11,4512.36,Motor
2024-02-11 01:52:07,Scania_10,4.68,4714.79,Frenos
2024-02-05 01:52:07,Scania_3,5.44,1699.87,Frenos
2024-04-24 01:52:07,Scania_1,8.86,3660.07,Electricidad
2024-10-10 01:52:07,Scania_1,7.77,1859.7,Transmisi—n
2024-02-22 01:52:07,Scania_4,2.27,3913.74,Suspensi—n
2024-02-18 01:52:07,Scania_3,7.05,4951.26,Neum‡ticos
2024-09-18 01:52:07,Scania_8,3.5,4200.79,Electricidad
2024-02-05 01:52:07,Scania_4,3.72,2253.58,Transmisi—n
2024-10-09 01:52:07,Scania_9,9.89,3481.61,Aceite
2024-02-10 01:52:07,Scania_10,9.76,3685.11,Transmisi—n
2024-06-20 01:52:07,Scania_8,1.82,3117.77,Frenos
2024-07-24 01:52:07,Scania_7,4.27,4645.95,Neum‡ticos
2024-09-12 01:52:07,Scania_7,8.67,4723.58,Motor
2024-04-03 01:52:07,Scania_3,2.09,4040.41,Neum‡ticos
2024-01-15 01:52:07,Scania_7,8.97,2073.12,Frenos
2023-12-19 01:52:07,Scania_6,6.48,3031.77,Frenos
2024-08-22 01:52:07,Scania_8,2.2,2230.76,Motor
2024-10-14 01:52:07,Scania_5,2.56,1271.48,Motor
2024-08-22 01:52:07,Scania_10,8.2,3322.62,Frenos
2023-12-18 01:52:07,Scania_1,5.37,4048.25,Frenos
2024-06-08 01:52:07,Scania_8,2.61,4119.13,Transmisi—n
2024-10-18 01:52:07,Scania_4,1.88,1952.09,Transmisi—n
2024-01-17 01:52:07,Scania_6,8.88,1855.75,Motor
2024-03-20 01:52:07,Scania_9,3.9,3666.65,Neum‡ticos
2023-12-25 01:52:07,Scania_9,4.06,2441.71,Neum‡ticos
2024-08-08 01:52:07,Scania_7,4.91,3078.68,Frenos
2024-05-27 01:52:07,Scania_6,6.4,3018.5,Electricidad
2023-11-30 01:52:07,Scania_6,6.48,4795.43,Aceite
2024-08-19 01:52:07,Scania_2,2.02,4718.43,Motor
2023-12-22 01:52:07,Scania_8,8.86,1904.53,Electricidad
2024-04-04 01:52:07,Scania_9,7.5,2040.4,Frenos
2024-03-23 01:52:07,Scania_2,2.35,1196.54,Transmisi—n
2024-05-13 01:52:07,Scania_8,4.53,4056.06,Suspensi—n
2024-06-30 01:52:07,Scania_2,3.91,3687.43,Suspensi—n
2024-08-31 01:52:07,Scania_3,1.13,2243.87,Electricidad
2024-04-06 01:52:07,Scania_4,3.81,2545.78,Neum‡ticos
2024-09-29 01:52:07,Scania_3,1.66,1592.69,Suspensi—n
2024-07-19 01:52:07,Scania_3,7.65,4202.56,Transmisi—n
2024-04-28 01:52:07,Scania_10,8.56,2363.27,Electricidad
2024-03-23 01:52:07,Scania_7,4.18,1631.97,Transmisi—n
2024-06-22 01:52:07,Scania_4,9.12,2659.35,Motor
2024-10-16 01:52:07,Scania_1,3.71,3800.02,Electricidad
2024-04-16 01:52:07,Scania_9,7.88,1451.18,Electricidad
2024-01-14 01:52:07,Scania_2,3.95,1346.16,Motor
2024-01-29 01:52:07,Scania_6,2.6,4219.54,Electricidad
2024-03-16 01:52:07,Scania_10,8.22,4083.49,Neum‡ticos
2023-12-10 01:52:07,Scania_7,3.15,3580.84,Transmisi—n
2024-03-01 01:52:07,Scania_9,5.16,3026.26,Transmisi—n
2024-05-09 01:52:07,Scania_7,7.34,3853.59,Frenos
2024-09-26 01:52:07,Scania_6,8.29,3353.63,Neum‡ticos
2024-08-26 01:52:07,Scania_7,8.48,4530.19,Frenos
2023-12-12 01:52:07,Scania_1,4.17,2512.67,Electricidad
2024-06-25 01:52:07,Scania_10,5.8,3698.99,Frenos
2024-03-31 01:52:07,Scania_7,7.35,4252.5,Motor
2024-09-28 01:52:07,Scania_10,4.95,3892.57,Motor
2024-08-01 01:52:07,Scania_4,7.49,2456.08,Transmisi—n
2023-11-30 01:52:07,Scania_10,3.35,1180.65,Electricidad
2024-09-22 01:52:07,Scania_9,1.42,2566.25,Neum‡ticos
2024-09-02 01:52:07,Scania_4,8.75,2568.35,Suspensi—n
2024-03-19 01:52:07,Scania_8,5.92,4944.01,Neum‡ticos
2024-01-07 01:52:07,Scania_7,5.93,1732.37,Suspensi—n
2024-03-13 01:52:07,Scania_4,8.11,3868.14,Suspensi—n
2024-02-05 01:52:07,Scania_4,3.13,1343.18,Frenos
2024-04-09 01:52:07,Scania_5,2.05,2662.25,Aceite
2024-07-20 01:52:07,Scania_9,5.92,3896.15,Transmisi—n
